rank,view,like,dm,coin,collect,share,fan,deltatime,tag,c_pts
81,1665491,158745,6232,161000,79000,76000,115000.0,510279.6994419098,10,1020401
82,536557,45789,6594,31000,11000,1457,1624000.0,80734.05224704742,10,1019421
83,1661358,228733,18505,121000,52000,6630,1216000.0,535560.5466270447,0.1,1018737
84,608910,56223,7888,22000,7006,24000,890000.0,34122.87507510185,0.8,1018064
85,327624,37258,2875,31000,24000,4030,3663000.0,92531.17943525314,10,1012894
86,807205,76434,1838,61000,57000,4457,171000.0,440608.5789337158,10,997697
87,704867,79078,1428,20000,6461,1395,935000.0,263864.86492848396,10,997146
88,607865,63177,6573,24000,5388,1572,1743000.0,120220.16411447525,10,996442
89,754695,50302,893,16000,9725,260,Non,288069.49163269997,10,982771
90,530898,71919,1328,61000,14000,1560,1490000.0,272036.77688217163,10,980439
91,406832,55129,857,27000,13000,1107,40000.0,263559.1110794544,10,957161
92,533239,48138,1267,16000,9842,9490,Non,206614.47595214844,10,953700
93,507014,29088,787,25000,15000,3311,2753,247890.82567191124,10,951569
94,517766,41157,1245,32000,9468,1906,20000.0,224627.1925022602,10,948984
95,545346,52982,4031,23000,6394,1459,804000.0,258943.47974681854,10,946598
96,784069,54808,1556,22000,8552,2367,1403000.0,264785.80391812325,10,937758
97,1033302,54378,2411,13000,9108,1860,1214000.0,271414.1482081413,10,937444
98,687061,56025,493,22000,4830,919,6641,267832.45959854126,10,932211
99,670289,43045,408,19000,7222,2366,60000.0,260269.74708342552,10,929205
100,570886,65882,5911,14000,4067,550,1727000.0,206316.07680749893,10,927329
