rank,view,like,dm,coin,collect,share,fan,deltatime,tag,c_pts
79,3185306,327234,51028,203000,142000,24000,972000.0,895245.0438764095,知识,882972
80,670228,46338,2941,8816,5502,3803,870000.0,104180.52295041084,知识,880788
81,1190928,49984,993,6975,6441,2008,1083000.0,289266.9469602108,鬼畜,866874
82,524835,56678,6888,12000,4779,1452,2729000.0,224182.51451206207,生活,866327
83,661907,60275,980,7588,2039,332,4861000.0,199926.97078609467,生活,863827
84,1056248,76948,1299,15000,6325,7376,885000.0,309920.4428715706,动画,858798
85,1156430,109689,7713,27000,11000,1138,5707000.0,284776.92591929436,游戏,855192
86,419870,45757,1357,16000,9505,2857,4395000.0,188483.435942173,美食,847018
87,871062,36835,6715,12000,3000,1084,2278000.0,109205.93399953842,游戏,833156
88,310035,32403,331,24000,15000,831,294000.0,197484.37403273582,动画,828967
89,458223,35648,871,13000,11000,7540,1131000.0,202225.85806798935,鬼畜,828325
90,370284,14140,282,7670,24000,3476,88000.0,201585.325797081,游戏,821807
91,689299,47933,2557,8497,3117,410,1693000.0,111042.77582931519,美食,817120
92,376263,30035,808,13000,17000,1458,76000.0,105672.22988677025,游戏,816061
93,581308,62677,9410,35000,10000,2187,2168000.0,11835.712584257126,游戏,812043
94,652217,46959,1743,5314,3695,322,2274000.0,218622.18361902237,游戏,806061
95,4228248,261106,6364,114000,46000,47000,Non,1691341.6626851559,美食,805059
96,1207116,125737,2051,42000,130000,11000,Non,637898.0747153759,动画,794702
97,3365970,174422,3850,20000,40000,6219,8975,2209057.5423657894,生活,793316
98,512713,52201,812,6078,3733,7243,875000.0,195014.00700497627,国创,787063
99,601839,55654,5074,11000,2967,688,4339000.0,26480.477027654648,美食,781519
100,575024,46360,2785,11000,2022,506,1139000.0,206480.95906186104,美食,771451
